generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
5,single-cutcat-unif,722,386,377,1.1328125,0.08211792664260573,0,0.20119785431853046,1.0
5,single-cutcat-unif,741,386,152,1.1328125,0.17094251438537364,0,0.12269343092550268,1.0
5,single-cutcat-unif,661,960,106,1.005859375,0.22823739230011364,0,0.22189312151474364,0.9982
5,single-cutcat-unif,980,1088,158,1.19921875,0.2861052583503159,0,0.1556200921900309,0.9997
5,single-cutcat-unif,292,131,649,1.0224609375,0.02885048670099707,0,0.5222200735363954,1.0
5,single-cutcat-unif,261,116,665,1.052734375,0.04846750658064589,0,0.41381079224042994,1.0
5,single-cutcat-unif,677,450,384,1.01953125,0.08577292894977889,0,0.22772901401846368,1.0
5,single-cutcat-unif,723,372,121,1.052734375,0.08240211647690414,0,0.02865707516131543,0.9990000000000001
6,single-cutcat-unif,964,123,393,1.021484375,0.0450926691365728,0,0.2743273781459826,1.0
6,single-cutcat-unif,667,395,361,1.021484375,0.11677051986843917,0,0.3697182616523184,1.0
6,single-cutcat-unif,661,448,106,1.13671875,0.15204887489352314,0,0.07643412656919428,0.9983
6,single-cutcat-unif,741,386,152,1.1328125,0.17094251438537364,0,0.12269343092550268,1.0
6,single-cutcat-unif,661,960,106,1.005859375,0.22823739230011364,0,0.22189312151474364,0.9982
6,single-cutcat-unif,749,1088,152,1.1953125,0.2785180856903642,0,0.1393360247049431,0.9997
6,single-cutcat-unif,292,131,649,1.0224609375,0.02885048670099707,0,0.5222200735363954,1.0
6,single-cutcat-unif,980,1088,158,1.19921875,0.2861052583503159,0,0.1556200921900309,0.9997
6,single-cutcat-unif,261,116,665,1.052734375,0.04846750658064589,0,0.41381079224042994,1.0
6,single-cutcat-unif,731,135,521,1.021484375,0.03253116752831646,0,0.38776415644068096,1.0
7,single-cutcat-unif,964,123,393,1.021484375,0.0450926691365728,0,0.2743273781459826,1.0
7,single-cutcat-unif,736,448,158,1.19921875,0.1739260894080036,0,0.12256058794889589,0.9999000000000001
7,single-cutcat-unif,661,448,106,1.13671875,0.15204887489352314,0,0.07643412656919428,0.9983
7,single-cutcat-unif,741,386,152,1.1328125,0.17094251438537364,0,0.12269343092550268,1.0
7,single-cutcat-unif,661,960,106,1.005859375,0.22823739230011364,0,0.22189312151474364,0.9982
7,single-cutcat-unif,749,1088,152,1.1953125,0.2785180856903642,0,0.1393360247049431,0.9997
7,single-cutcat-unif,261,116,665,1.052734375,0.04846750658064589,0,0.41381079224042994,1.0
7,single-cutcat-unif,292,131,649,1.0224609375,0.02885048670099707,0,0.5222200735363954,1.0
7,single-cutcat-unif,965,375,393,1.01953125,0.11383486927103878,0,0.40046916459950727,1.0
7,single-cutcat-unif,749,576,106,1.13671875,0.20131498554699997,0,0.08037107043629826,0.9982999999999999
8,single-cutcat-unif,964,123,393,1.021484375,0.0450926691365728,0,0.2743273781459826,1.0
8,single-cutcat-unif,149,1025,218,1.193359375,0.35399022478008263,0,0.23721712574860546,1.0
8,single-cutcat-unif,661,960,138,1.0009765625,0.24844862311261856,0,0.12534900695061837,0.9997
8,single-cutcat-unif,736,448,158,1.19921875,0.1739260894080036,0,0.12256058794889589,0.9999000000000001
8,single-cutcat-unif,661,448,106,1.13671875,0.15204887489352314,0,0.07643412656919428,0.9983
8,single-cutcat-unif,741,386,152,1.1328125,0.17094251438537364,0,0.12269343092550268,1.0
8,single-cutcat-unif,749,1088,152,1.1953125,0.2785180856903642,0,0.1393360247049431,0.9997
8,single-cutcat-unif,661,448,106,1.01171875,0.14541638801560317,0,0.030682663157273242,0.9983
8,single-cutcat-unif,261,116,665,1.052734375,0.04846750658064589,0,0.41381079224042994,1.0
8,single-cutcat-unif,661,960,106,1.005859375,0.22823739230011364,0,0.22189312151474364,0.9982
9,single-cutcat-unif,964,123,393,1.021484375,0.0450926691365728,0,0.2743273781459826,1.0
9,single-cutcat-unif,149,1025,218,1.193359375,0.35399022478008263,0,0.23721712574860546,1.0
9,single-cutcat-unif,741,386,184,1.13671875,0.12998968923492288,0,0.13680259576459797,1.0
9,single-cutcat-unif,992,128,518,1.02734375,0.052721630630534484,0,0.4029210908440598,1.0
9,single-cutcat-unif,736,448,158,1.19921875,0.1739260894080036,0,0.12256058794889589,0.9999000000000001
9,single-cutcat-unif,661,448,106,1.13671875,0.15204887489352314,0,0.07643412656919428,0.9983
9,single-cutcat-unif,661,449,106,1.044921875,0.1326649333807945,0,0.12092133556606507,0.9982
9,single-cutcat-unif,741,386,152,1.1328125,0.17094251438537364,0,0.12269343092550268,1.0
9,single-cutcat-unif,661,448,106,1.01171875,0.14541638801560317,0,0.030682663157273242,0.9983
9,single-cutcat-unif,261,116,665,1.052734375,0.04846750658064589,0,0.41381079224042994,1.0
10,single-cutcat-unif,964,123,393,1.021484375,0.0450926691365728,0,0.2743273781459826,1.0
10,single-cutcat-unif,741,386,184,1.13671875,0.12998968923492288,0,0.13680259576459797,1.0
10,single-cutcat-unif,964,387,137,1.146484375,0.13304806694473156,0,0.12083961895243578,0.9993000000000001
10,single-cutcat-unif,149,1025,218,1.193359375,0.35399022478008263,0,0.23721712574860546,1.0
10,single-cutcat-unif,736,448,158,1.19921875,0.1739260894080036,0,0.12256058794889589,0.9999000000000001
10,single-cutcat-unif,661,449,106,1.044921875,0.1326649333807945,0,0.12092133556606507,0.9982
10,single-cutcat-unif,661,448,106,1.13671875,0.15204887489352314,0,0.07643412656919428,0.9983
10,single-cutcat-unif,741,386,152,1.1328125,0.17094251438537364,0,0.12269343092550268,1.0
10,single-cutcat-unif,661,576,155,1.19921875,0.20327854164050238,0,0.12695873867198096,0.9999000000000001
10,single-cutcat-unif,661,448,106,1.01171875,0.14541638801560317,0,0.030682663157273242,0.9983
0,multi-cutcat-unif,440,877,108,1.0302734375,0.10310079563781904,0,0.08127531080237611,0.9987999999999999
0,multi-cutcat-unif,985,797,806,1.68359375,0.3955770801457747,0,1.0,1.0
0,multi-cutcat-unif,16,856,700,1.0712890625,0.11296568190833066,0,0.34668813562837025,1.0
0,multi-cutcat-unif,711,945,618,1.72265625,0.420519908141418,0,0.7554194348271068,1.0
0,multi-cutcat-unif,666,852,238,1.55078125,0.32926103571929044,0,0.44657328473102126,1.0
0,multi-cutcat-unif,327,934,143,1.1953125,0.1369777428991681,0,0.1072411161569568,0.9998
0,multi-cutcat-unif,247,705,877,1.830078125,1.0,0,0.905852133764384,1.0
0,multi-cutcat-unif,390,679,499,1.92578125,0.8379534471884708,0,0.8130948285214661,1.0
0,multi-cutcat-unif,461,266,164,1.55859375,0.10860399750680304,0,0.2895398705640756,1.0
0,multi-cutcat-unif,729,457,592,1.068359375,0.07642466866361097,0,0.36014245163718633,1.0
1,multi-cutcat-unif,440,877,108,1.0302734375,0.10310079563781904,0,0.08127531080237611,0.9987999999999999
1,multi-cutcat-unif,16,856,700,1.0712890625,0.11296568190833066,0,0.34668813562837025,1.0
1,multi-cutcat-unif,1,728,179,1.42578125,0.0035171576526125277,0,0.10607976171185875,0.010700000000000043
1,multi-cutcat-unif,241,961,236,1.0302734375,0.10798805627606467,0,0.16498646350392585,1.0
1,multi-cutcat-unif,665,793,804,1.005859375,0.0826548013629656,0,0.4369860747349538,1.0
1,multi-cutcat-unif,345,871,140,1.2333984375,0.18542063383460705,0,0.20259258760572943,1.0
1,multi-cutcat-unif,327,934,143,1.1953125,0.1369777428991681,0,0.1072411161569568,0.9998
