trial,generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
0,6,single-cutcat-tour,255,144,135,1.0634765625,0.176387329,0,0.001128093,0.9987999999999999
0,6,single-cutcat-tour,767,656,151,1.1962890625,0.553118566,0,0.001487342,0.9998
0,6,single-cutcat-tour,567,126,327,1.109375,0.153344503,0,0.001752773,1.0
0,6,single-cutcat-tour,759,112,135,1.2353515625,0.209596333,0,0.001696668,1.0
0,7,single-cutcat-tour,759,242,199,1.1103515625,0.249786657,0,0.001358609,0.9999000000000001
0,7,single-cutcat-tour,755,258,143,1.0634765625,0.251336467,0,0.001120869,0.9995
0,7,single-cutcat-tour,754,513,199,1.1103515625,0.438504415,0,0.001452977,1.0
0,7,single-cutcat-tour,759,242,135,1.0634765625,0.245986652,0,0.001125117,0.9992000000000002
0,7,single-cutcat-tour,567,114,391,1.0947265625,0.145256712,0,0.001876137,1.0
0,7,single-cutcat-tour,255,144,135,1.0634765625,0.176387329,0,0.001128093,0.9987999999999999
0,7,single-cutcat-tour,567,126,327,1.109375,0.153344503,0,0.001752773,1.0
0,8,single-cutcat-tour,767,240,135,1.1103515625,0.276618856,0,0.00106827,0.9993000000000001
0,8,single-cutcat-tour,630,114,391,1.0947265625,0.14647192,0,0.001815933,1.0
0,8,single-cutcat-tour,759,242,199,1.1103515625,0.249786657,0,0.001358609,0.9999000000000001
0,8,single-cutcat-tour,755,258,143,1.0634765625,0.251336467,0,0.001120869,0.9995
0,8,single-cutcat-tour,754,513,199,1.1103515625,0.438504415,0,0.001452977,1.0
0,8,single-cutcat-tour,759,242,135,1.0634765625,0.245986652,0,0.001125117,0.9992000000000002
0,8,single-cutcat-tour,567,114,391,1.0947265625,0.145256712,0,0.001876137,1.0
0,8,single-cutcat-tour,759,146,135,1.1884765625,0.180437355,0,0.001085472,0.9986
0,9,single-cutcat-tour,767,240,135,1.1103515625,0.276618856,0,0.00106827,0.9993000000000001
0,9,single-cutcat-tour,247,115,903,1.0634765625,0.146228739,0,0.003334013,1.0
0,9,single-cutcat-tour,630,114,391,1.0947265625,0.14647192,0,0.001815933,1.0
0,9,single-cutcat-tour,759,242,199,1.1103515625,0.249786657,0,0.001358609,0.9999000000000001
0,9,single-cutcat-tour,755,258,143,1.0634765625,0.251336467,0,0.001120869,0.9995
0,9,single-cutcat-tour,754,513,199,1.1103515625,0.438504415,0,0.001452977,1.0
0,9,single-cutcat-tour,759,242,135,1.0634765625,0.245986652,0,0.001125117,0.9992000000000002
0,9,single-cutcat-tour,759,146,135,1.1884765625,0.180437355,0,0.001085472,0.9986
0,9,single-cutcat-tour,739,130,115,1.0634765625,0.156849819,0,0.001015621,0.997
0,10,single-cutcat-tour,767,240,135,1.1103515625,0.276618856,0,0.00106827,0.9993000000000001
0,10,single-cutcat-tour,630,114,391,1.0947265625,0.14647192,0,0.001815933,1.0
0,10,single-cutcat-tour,759,242,199,1.1103515625,0.249786657,0,0.001358609,0.9999000000000001
0,10,single-cutcat-tour,755,258,143,1.0634765625,0.251336467,0,0.001120869,0.9995
0,10,single-cutcat-tour,754,513,199,1.1103515625,0.438504415,0,0.001452977,1.0
0,10,single-cutcat-tour,739,131,115,1.2197265625,0.242077532,0,0.001529622,1.0
0,10,single-cutcat-tour,743,242,134,1.0634765625,0.244090627,0,0.001149824,0.9991
0,10,single-cutcat-tour,567,114,391,1.0947265625,0.145256712,0,0.001876137,1.0
0,10,single-cutcat-tour,759,242,135,1.0634765625,0.245986652,0,0.001125117,0.9992000000000002
0,0,multi-cutcat-tour,640,355,922,1.3134765625,0.51432925,0,0.004391582,1.0
0,0,multi-cutcat-tour,373,993,948,1.4111328125,1.27059221,0,0.004668435,1.0
0,0,multi-cutcat-tour,834,324,948,1.7158203125,0.867459628,0,0.005524052,1.0
0,0,multi-cutcat-tour,380,227,623,1.0390625,0.229983977,0,0.002691659,1.0
0,0,multi-cutcat-tour,152,704,882,1.0009765625,0.488007846,0,0.003800425,1.0
0,0,multi-cutcat-tour,544,827,312,1.568359375,2.108011362,0,0.003351386,1.0
0,0,multi-cutcat-tour,587,348,720,1.396484375,0.543022116,0,0.004297794,1.0
0,0,multi-cutcat-tour,687,845,181,1.9013671875,4.413268724,0,0.003381662,1.0
0,0,multi-cutcat-tour,456,258,388,1.6669921875,0.646529396,0,0.003095161,1.0
0,0,multi-cutcat-tour,396,719,230,1.2177734375,0.812961673,0,0.002234004,1.0
0,1,multi-cutcat-tour,380,227,623,1.0390625,0.229983977,0,0.002691659,1.0
0,1,multi-cutcat-tour,380,210,111,1.2177734375,0.326763296,0,0.001619101,1.0
0,2,multi-cutcat-tour,892,210,623,1.0458984375,0.219809491,0,0.002668716,1.0
0,2,multi-cutcat-tour,380,227,623,1.0390625,0.229983977,0,0.002691659,1.0
0,2,multi-cutcat-tour,380,211,102,1.1708984375,0.238839359,0,0.000935989,0.9962000000000001
0,2,multi-cutcat-tour,380,210,111,1.2177734375,0.326763296,0,0.001619101,1.0
0,3,multi-cutcat-tour,380,211,111,1.2177734375,0.316930187,0,0.001590437,1.0
0,3,multi-cutcat-tour,380,211,102,1.1708984375,0.238839359,0,0.000935989,0.9962000000000001
0,3,multi-cutcat-tour,380,227,623,1.0927734375,0.232483662,0,0.00274534,1.0
0,3,multi-cutcat-tour,380,208,111,1.0390625,0.217907153,0,0.001067428,0.9975999999999999
0,3,multi-cutcat-tour,380,227,623,1.0390625,0.229983977,0,0.002691659,1.0
0,3,multi-cutcat-tour,356,179,678,1.1640625,0.211511913,0,0.002928226,1.0
0,3,multi-cutcat-tour,348,211,623,1.0419921875,0.222832758,0,0.002726324,1.0
0,3,multi-cutcat-tour,380,210,102,1.1396484375,0.229234229,0,0.000961327,0.9965
0,4,multi-cutcat-tour,380,211,623,1.0576171875,0.225086628,0,0.002635092,1.0
0,4,multi-cutcat-tour,380,211,111,1.2177734375,0.316930187,0,0.001590437,1.0
0,4,multi-cutcat-tour,380,211,102,1.1708984375,0.238839359,0,0.000935989,0.9962000000000001
0,4,multi-cutcat-tour,380,210,111,1.2177734375,0.326763296,0,0.001619101,1.0
0,4,multi-cutcat-tour,380,208,111,1.0390625,0.217907153,0,0.001067428,0.9975999999999999
0,4,multi-cutcat-tour,380,210,111,1.2021484375,0.313480354,0,0.001498673,1.0
0,4,multi-cutcat-tour,356,179,678,1.1640625,0.211511913,0,0.002928226,1.0
0,4,multi-cutcat-tour,380,339,106,1.1396484375,0.31164755,0,0.001086544,0.9978999999999999
0,5,multi-cutcat-tour,380,211,623,1.0576171875,0.225086628,0,0.002635092,1.0
0,5,multi-cutcat-tour,380,211,111,1.2177734375,0.316930187,0,0.001590437,1.0
0,5,multi-cutcat-tour,380,211,102,1.1708984375,0.238839359,0,0.000935989,0.9962000000000001
0,5,multi-cutcat-tour,368,179,623,1.1865234375,0.229948269,0,0.002722728,1.0
0,5,multi-cutcat-tour,356,178,111,1.232421875,0.283336275,0,0.001347397,1.0
0,5,multi-cutcat-tour,380,208,111,1.0390625,0.217907153,0,0.001067428,0.9975999999999999
0,5,multi-cutcat-tour,380,210,111,1.2021484375,0.313480354,0,0.001498673,1.0
0,5,multi-cutcat-tour,356,179,678,1.1640625,0.211511913,0,0.002928226,1.0
0,6,multi-cutcat-tour,380,208,111,1.0390625,0.217907153,0,0.001067428,0.9975999999999999
0,6,multi-cutcat-tour,380,211,103,1.1708984375,0.225144978,0,0.001229805,0.9965999999999999
0,6,multi-cutcat-tour,382,114,679,1.1396484375,0.148945524,0,0.002660109,1.0
0,6,multi-cutcat-tour,356,178,111,1.232421875,0.283336275,0,0.001347397,1.0
0,7,multi-cutcat-tour,356,178,111,1.232421875,0.283336275,0,0.001347397,1.0
0,7,multi-cutcat-tour,382,723,103,1.0107421875,0.503058599,0,0.00109483,0.9979
0,7,multi-cutcat-tour,380,208,111,1.0390625,0.217907153,0,0.001067428,0.9975999999999999
0,7,multi-cutcat-tour,380,210,111,1.2021484375,0.313480354,0,0.001498673,1.0
0,7,multi-cutcat-tour,382,114,679,1.1396484375,0.148945524,0,0.002660109,1.0
0,7,multi-cutcat-tour,372,467,103,1.1708984375,0.415695672,0,0.001077587,0.9976
0,8,multi-cutcat-tour,380,211,623,1.0576171875,0.225086628,0,0.002635092,1.0
0,8,multi-cutcat-tour,380,210,103,1.1689453125,0.232152086,0,0.001034656,0.9964
0,8,multi-cutcat-tour,310,146,103,1.232421875,0.254217281,0,0.001477944,1.0
0,8,multi-cutcat-tour,382,114,615,1.138671875,0.155692612,0,0.002476933,1.0
0,8,multi-cutcat-tour,382,723,103,1.0107421875,0.503058599,0,0.00109483,0.9979
0,8,multi-cutcat-tour,380,208,111,1.0390625,0.217907153,0,0.001067428,0.9975999999999999
0,8,multi-cutcat-tour,380,210,111,1.2021484375,0.313480354,0,0.001498673,1.0
0,8,multi-cutcat-tour,374,467,167,1.138671875,0.440919508,0,0.001365702,1.0
0,8,multi-cutcat-tour,382,432,103,1.150390625,0.388904892,0,0.001074201,0.9976999999999999
0,9,multi-cutcat-tour,380,210,103,1.1689453125,0.232152086,0,0.001034656,0.9964
0,9,multi-cutcat-tour,382,722,103,1.1552734375,0.589678863,0,0.001133193,0.9978
0,9,multi-cutcat-tour,310,146,103,1.232421875,0.254217281,0,0.001477944,1.0
0,9,multi-cutcat-tour,382,114,615,1.138671875,0.155692612,0,0.002476933,1.0
0,9,multi-cutcat-tour,382,723,103,1.0107421875,0.503058599,0,0.00109483,0.9979
0,9,multi-cutcat-tour,380,208,111,1.0390625,0.217907153,0,0.001067428,0.9975999999999999
0,9,multi-cutcat-tour,380,210,111,1.2021484375,0.313480354,0,0.001498673,1.0
0,10,multi-cutcat-tour,380,210,103,1.1689453125,0.232152086,0,0.001034656,0.9964
0,10,multi-cutcat-tour,310,146,103,1.232421875,0.254217281,0,0.001477944,1.0
