iter,M,C,S,alpha,ws
0,60,664,233,1.0620433656714758,3.0
1,445,439,967,1.807758859326639,3.0
2,527,858,909,1.1715855976406004,0.954859144708992
3,583,585,750,1.1034267977855339,1.6587906982197875
4,652,394,147,1.0880898146661075,0.31291164833103213
5,411,162,289,1.3327230300549162,0.31521227417562936
6,949,492,740,1.4367030154201763,1.7146996459778763
7,816,389,717,1.3505245921434508,1.1743017464778986
8,427,810,240,1.8282860409267743,1.7229375709021837
9,610,433,253,1.7774416802194197,1.1411523675941262
10,440,126,284,1.3267484507672243,0.36537481788948206
11,453,888,890,1.200458151981724,1.987385104362909
12,467,330,222,1.2330032816643217,0.25698952117276136
13,943,993,347,1.3160402164207412,0.669038124140742
14,317,295,100,1.3175006737307509,0.03163343816672394
15,256,310,100,1.3388355602973632,0.037280494030575394
16,284,239,100,1.2550673780603316,0.626979551152225
17,503,371,692,1.942548233088613,1.946175719206576
18,324,299,139,1.2958605838527562,0.3327641208846862
19,293,301,100,1.3302782953071712,0.16404552565308897
20,528,186,862,1.6639915354961161,1.3488376739285062
21,276,340,109,1.322899793549281,0.24866528345501468
22,299,320,115,1.3125946826755763,0.2083500301708602
23,594,224,349,1.4331338483489,0.5753619714049412
24,962,564,678,1.0312084329636502,0.6672194131043508
25,875,621,115,1.9619822297108018,1.1635247652727552
26,455,335,281,1.6517396794365862,0.8094059176049515
27,911,256,922,1.8913820534967978,2.096674754709572
28,226,808,194,1.0397398750662958,0.18920375355212554
29,701,417,296,1.3731482385205882,0.5354179018135943
30,670,646,701,1.9995401166639488,2.580139659805412
31,693,676,447,1.392051834957042,0.938068467608073
32,995,380,211,1.7239806307381316,0.7291356970484553
33,355,521,731,1.9124671035563128,2.230129442985704
34,246,296,124,1.333332303735522,0.1988787030640186
35,768,595,262,1.550570956735946,1.0166755132249534
36,303,271,115,1.3021125286294755,0.2622073629936442
37,267,280,112,1.2920185986091464,0.16098220897115473
38,597,453,937,1.107552818888223,0.9720102218101371
39,320,345,109,1.290440847774146,0.22219240632266354
40,232,796,188,1.068464097809919,0.7157644858703888
41,685,284,953,1.0669523984235636,0.9563042934191585
42,345,268,127,1.3434448143583948,0.3005697578828773
43,599,465,233,1.3800200094344308,1.4426964861027063
44,265,294,103,1.3367259770315076,0.21314816622821453
45,294,277,113,1.2813076121752163,0.22345533229267042
46,334,440,624,1.265410919962394,2.0420159808470926
47,494,336,196,1.2410537196114881,0.5400686107621478
48,428,1014,628,1.8532687373304413,2.572981589415136
49,369,494,741,1.520895568401318,1.5351740818879493
50,182,129,202,1.377433302129977,0.2445934589032307
51,939,723,122,1.1162196864878158,0.4706921742354756
52,258,713,239,1.817466187821731,1.659971708280941
53,45,526,623,1.2314207877643897,0.7528619276015254
54,612,948,352,1.8121262683845947,1.928665810752951
55,985,991,767,1.2028740659951034,1.1394225754327216
56,215,321,110,1.2981354211990483,0.23193361415159733
57,256,193,476,1.44659852446966,0.8479609926047837
58,456,359,265,1.2376337790493914,0.5960485658371133
59,19,862,177,1.1801390991532377,0.09143727299981871
