 | B: 0.185402832, M: 0, S: 0.000654689, R: 0.9717000000000001

M: 40, C: 133, S: 102, a: 1.025390625 
 | B: 0.218069078, M: 0, S: 0.000848995, R: 0.9943000000000001

M: 67, C: 112, S: 130, a: 1.8056640625 
 | B: 0.670246211, M: 0, S: 0.001464098, R: 0.9999999999999999

M: 7, C: 102, S: 222, a: 1.1640625 
 | B: 0.150681334, M: 0, S: 0.000831212, R: 0.9803

M: 11, C: 131, S: 194, a: 1.0595703125 
 | B: 0.196338821, M: 0, S: 0.000817506, R: 0.9948999999999998

M: 6, C: 102, S: 575, a: 1.015625 
 | B: 0.143494032, M: 0, S: 0.001600808, R: 0.9892

M: 7, C: 102, S: 222, a: 1.1640625 
 | B: 0.150681334, M: 0, S: 0.000831212, R: 0.9803

M: 7, C: 102, S: 222, a: 1.1640625 
 | B: 0.150681334, M: 0, S: 0.000831212, R: 0.9803

M: 10, C: 103, S: 101, a: 1.033203125 
 | B: 0.20426189, M: 0, S: 0.005859633, R: 0.9611999999999999

M: 7, C: 102, S: 222, a: 1.1640625 
 | B: 0.150681334, M: 0, S: 0.000831212, R: 0.9803

M: 5, C: 102, S: 302, a: 1.0263671875 
 | B: 0.129691734, M: 0, S: 0.00313054, R: 0.9479000000000001

M: 5, C: 102, S: 302, a: 1.0263671875 
 | B: 0.129691734, M: 0, S: 0.00313054, R: 0.9479000000000001

M: 5, C: 102, S: 302, a: 1.0263671875 
 | B: 0.129691734, M: 0, S: 0.00313054, R: 0.9479000000000001

M: 8, C: 101, S: 550, a: 1.0078125 
 | B: 0.144979873, M: 0, S: 0.001514313, R: 0.9983999999999998

M: 5, C: 117, S: 686, a: 1.0732421875 
 | B: 0.158825259, M: 0, S: 0.001504356, R: 0.9750000000000001

M: 5, C: 117, S: 686, a: 1.0732421875 
 | B: 0.158825259, M: 0, S: 0.001504356, R: 0.9750000000000001

M: 521, C: 106, S: 328, a: 1.0732421875 
 | B: 0.200586718, M: 0, S: 0.001622438, R: 0.9999999999999999

M: 521, C: 106, S: 328, a: 1.0732421875 
 | B: 0.200586718, M: 0, S: 0.001622438, R: 0.9999999999999999

M: 69, C: 101, S: 262, a: 1.0107421875 
 | B: 0.197963315, M: 0, S: 0.001973161, R: 0.9999000000000001

M: 12, C: 106, S: 443, a: 1.01171875 
 | B: 0.170417177, M: 0, S: 0.001747415, R: 0.9999999999999999

M: 3, C: 101, S: 551, a: 1.0263671875 
 | B: 0.127416082, M: 0, S: 0.001078299, R: 0.4901

M: 13, C: 421, S: 156, a: 1.0029296875 
 | B: 0.434141983, M: 0, S: 0.001436246, R: 0.9949

M: 13, C: 421, S: 156, a: 1.0029296875 
 | B: 0.434141983, M: 0, S: 0.001436246, R: 0.9949

M: 13, C: 421, S: 156, a: 1.0029296875 
