iter,M,C,S,alpha,ws
0,740,155,181,1.2162780706387375,2.0
1,796,127,663,1.8206626330179907,2.0
2,738,756,555,1.1410192945124327,1.113927136926755
3,845,629,1002,1.9729217456839199,2.0
4,36,188,784,1.5100384297747924,0.22975519649793189
5,613,606,142,1.1907853809969073,0.09528439057191215
6,886,314,891,1.9195366191137548,1.0464723077626443
7,648,960,867,1.9530735903734366,1.906188332657315
8,491,235,586,1.4044750275762525,0.36862890787831626
9,959,324,163,1.6079703640091703,0.3898556823375041
10,92,433,975,1.6784099255419442,0.7570379421778382
11,600,602,182,1.1312783139775195,0.05738237709522511
12,384,117,248,1.2676374973565534,0.11134225853530609
13,496,300,412,1.6741234543008052,0.4512877951873265
14,333,1018,158,1.579651537687469,0.6493499294837486
15,290,343,587,1.2810464658729417,0.38079703157538086
16,568,598,159,1.104853537541051,0.05582404195847633
17,625,585,177,1.1619778736514963,0.11320895858107144
18,573,644,177,1.1214712585401396,0.11867604147625314
19,618,460,752,1.1194153950943335,0.3378468431078765
20,610,653,390,1.1230661086725304,0.22302506872785638
21,744,431,379,1.9999446065783937,0.819425239158916
22,612,586,232,1.7758398805904365,0.9593879186220459
23,589,578,178,1.1049494614866215,0.09022650678463504
24,407,113,205,1.2799180089291533,0.14212896010942158
25,552,621,100,1.0858842816784358,0.06540352811518674
26,536,593,160,1.1315923250134627,0.3001217676323258
27,64,911,451,1.6949367261005948,0.6999850616933624
28,518,218,956,1.6581252627481096,0.6640035274619107
29,573,646,157,1.1777670429935458,0.1468681927004331
30,596,620,135,1.1283479120012543,0.10145765076238318
31,137,492,669,1.4637828698009798,0.6551709345800919
32,51,943,102,1.135261022192164,0.11451314884282786
33,409,511,256,1.510712483556569,0.5632971504224098
34,913,338,166,1.466474343264031,0.34618293975808423
35,668,333,514,1.8256382810218799,0.768372546416231
36,568,608,137,1.0886456661445447,0.10199721153846214
37,655,808,620,1.0639838914051052,0.35595308056265174
38,364,132,244,1.2602962787777112,0.5103496389315852
39,140,290,648,1.375208455048638,0.4091861401565513
40,523,223,328,1.0146549410896721,0.1274714384298048
41,598,136,810,1.7255597064569623,0.5167556516602468
42,829,486,916,1.993897639565675,1.3419895852113863
43,412,271,694,1.6094095145918335,0.7047112897566764
44,787,510,510,1.7418615751977562,0.9817112946177324
45,38,532,728,1.8097698908527315,0.5578196111801597
46,386,170,132,1.5467512601237807,0.2316517376024555
47,592,615,182,1.150428710386264,0.14070193537531347
48,545,661,134,1.1222726617723824,0.13025049944884987
49,778,190,107,1.765546732510355,0.2908909492790917
50,374,235,208,1.3385393083669515,0.22359680001680743
51,346,496,217,1.2232700367637326,0.32573083251547996
52,542,358,645,1.9000779766014078,0.9354391837292426
53,162,739,115,1.1998052534050596,0.134315074300227
54,559,585,188,1.1369140069189265,0.14438219673666539
55,133,1014,879,1.5655276882679585,1.0795337661081432
56,881,517,910,1.640828208030948,1.0371323778573664
57,586,606,187,1.1220007656473197,0.14057553518871801
58,803,900,798,1.4119414137503976,0.7173639678803214
59,50,967,107,1.1145442358249842,0.14570600402142234
60,149,671,666,1.5890757579594752,0.9017733458122864
61,582,560,136,1.1017806417511204,0.11916957540356675
62,33,574,664,1.9638188692089957,0.5183107389027595
63,352,906,603,1.2089690017849155,0.61235079899573
64,267,756,104,1.2894013292278355,0.27540663087133
65,757,540,426,1.2532485974572452,0.515709110981569
66,573,600,145,1.1609321435107018,0.15423867815184455
67,562,617,166,1.1424548108686836,0.11736884566985195
68,398,112,247,1.2842063712779415,0.1824946535211823
69,962,254,458,1.5439285575573343,0.5233314444254127
70,595,578,153,1.1259184496380725,0.13535505987033375
71,571,597,177,1.0879404262845407,0.12424185631718107
72,695,1020,1010,1.2897203820573258,0.7386161341824163
73,537,606,141,1.1074007129207928,0.11061223820169769
74,1021,481,470,1.6198384767475544,0.705666900245392
75,352,730,258,1.8960484878779962,1.3589955719947597
76,542,404,166,1.4585976181740892,0.371507964319085
77,626,574,190,1.1907454812716969,0.16101112776074405
78,635,627,179,1.2002703841566569,0.34214064005510214
79,520,473,240,1.5692625220716219,0.4852561648197849
80,690,734,688,1.3426700219218182,0.5896271961821805
81,610,598,176,1.1302180696860682,0.10751884116718968
82,559,167,391,1.7872955965015682,0.446269701356561
83,516,464,478,1.619495872209702,0.6177540810286317
84,39,937,109,1.1515677238813153,0.09360390865872682
85,576,624,141,1.1522143187671814,0.08734015629425454
86,349,782,447,1.0145536253708203,0.30978239845505046
87,47,764,503,1.0445873013627835,0.3178086652995816
88,642,619,139,1.1738164662427548,0.13577670094869237
89,539,609,126,1.041354597519212,0.07689692164236897
90,511,665,165,1.1260050349768722,0.15642199995300515
91,594,592,155,1.096526413375161,0.15011798517707944
92,584,616,158,1.0642915492201064,0.14030212549713797
93,287,423,173,1.8230059036974913,0.7312795960578318
94,570,565,105,1.0328390748410365,0.09642120710330176
95,682,957,732,1.1665563643317642,0.4370441761985374
96,519,236,315,1.0323261939021664,0.16842444741823023
97,567,552,189,1.087306933009082,0.1520806613489347
98,43,953,133,1.109161062247371,0.15126342441637128
99,378,134,487,1.4181702955293651,0.371383989797521
100,867,260,754,1.8997245670796958,0.7685321638140962
101,955,254,288,1.0797284824689173,0.15159119958628273
102,583,574,214,1.1278390575461565,0.14951621921646194
103,39,940,115,1.1377883917227956,0.150815025422748
