iter,M,C,S,alpha,ws
0,365,998,153,1.2826035357411332,4.0
1,87,315,602,1.6706637165774725,2.0
2,384,611,578,1.1865535942873995,1.2569023234231544
3,387,277,742,1.749362823643474,4.0
4,462,216,562,1.4144816643346922,0.8465589581380425
5,764,233,792,1.8462297493688347,2.797608024693669
6,167,1023,227,1.8990984481149011,2.5303245763779887
7,1012,1000,863,1.7939440386866519,3.447128439042449
8,17,914,449,1.633406093303495,0.31830590347584814
9,660,228,187,1.1978881687263376,9.999999999987796e-05
10,413,639,716,1.8388045515659894,3.120716074157891
11,300,188,679,1.7735377426951149,1.322989223782173
12,782,171,100,1.0898025026730593,0.0043999999999999595
13,701,172,214,1.1519436988830036,0.20888878252778312
14,247,395,349,1.4938835385459326,1.1250206763874102
15,967,512,290,1.3955644975007164,0.8611473006042777
16,1013,468,280,1.9131977246939387,1.7826260911157987
17,880,395,514,1.827019005621997,1.841394062220902
18,738,920,442,1.8071032858774587,2.848018024148815
19,376,136,904,1.0957828969253824,0.9892729618363125
20,719,218,937,1.7592198578266633,1.8461743110795954
21,404,415,646,1.253508432425015,1.0553799069465957
22,550,207,488,1.2844207272817134,1.5524518651976456
23,601,325,583,1.9076748334353852,1.6957378726495973
24,841,879,359,1.890145042305436,2.719884361505902
25,94,218,273,1.455612805531799,0.686393524882984
26,731,868,795,1.924386525427873,3.602367559241747
27,517,388,663,1.8059779915747483,2.0264033677278546
28,358,840,248,1.0108770492717705,0.4390247698719588
29,1004,317,400,1.1402159850343456,0.44732902383293005
30,527,442,765,1.4072084743727578,1.2214182759180754
31,82,413,455,1.4253017598041313,0.7994829561496183
32,74,507,902,1.5323257383586424,1.530609739961647
33,191,688,679,1.5116423487557076,1.7870149571738563
34,714,115,126,1.5892382169871002,0.2778808145701212
35,350,599,407,1.5340769127017277,1.3820494225211948
36,285,489,197,1.801455384021586,1.930734749812053
37,12,146,396,1.4869088524679204,0.2030976514163527
38,35,731,890,1.354244931331308,1.1832923373805508
39,958,974,865,1.0286641268745225,1.0536682469423517
40,752,777,546,1.3836337073302154,1.2340996253519294
41,690,913,853,1.9185260056947613,3.852229061303672
42,427,693,216,1.2504177637407539,0.799369422186559
43,442,559,369,1.7682278453196671,2.233936025867903
44,959,937,932,1.7413032709358685,3.311855652377397
45,231,898,435,1.4069468337672837,1.1466935225631916
46,841,1003,653,1.4769598444298597,2.744002493514667
47,696,119,192,1.389349344518717,0.32059713359507935
48,616,472,850,1.8532319646595408,2.406593935485346
49,683,1002,852,1.8261512350612654,3.31874230930232
50,774,292,557,1.727923227753045,1.1469757900364022
51,480,668,396,1.0320756615281477,0.5074774348260731
52,584,265,1009,1.8132975889279273,1.9375974134132292
53,285,620,628,1.4419832297334623,1.4825409382184742
54,701,495,340,1.1320412110981426,0.4208650206219329
55,681,575,613,1.7968333670994456,2.3036578144534077
56,1014,1014,347,1.3866238165420497,0.9944185291847868
57,164,812,776,1.2037859439975316,1.133665606431616
58,196,240,392,1.8557480358615674,1.180426369925847
59,941,458,380,1.9641530270877041,1.5830391099289944
60,302,190,218,1.4611773022208696,1.0763530900026446
61,585,766,273,1.0012394226351025,0.4180836355476276
62,633,680,183,1.0890974272429548,0.3082821794400097
63,657,873,295,1.8381014258564319,2.55520069146505
64,802,107,858,1.268783174818786,1.1612094344252688
65,882,781,846,1.8341290651142783,3.12403102953727
66,175,886,897,1.083428541879102,1.9926431843138097
67,476,392,800,1.680695738035515,1.3918154085487564
68,73,233,609,1.5189957641410767,2.0281979462864355
69,605,851,485,1.494424550079639,1.5716345595383256
70,231,495,1020,1.4064655785795601,1.2515080981747624
71,220,646,782,1.848678686938094,2.9557901420815598
72,609,296,174,1.3993160636524538,0.43256407339615033
73,771,331,756,1.2624162411721451,0.9449960234158578
74,194,286,1006,1.1741366071235833,0.8175425835534978
75,827,564,267,1.0500262321964189,0.35065388654764806
76,1000,529,668,1.574876986777692,1.5509647966413151
77,205,531,987,1.345550345981363,1.1985849373616637
78,831,455,751,1.6273594457910483,1.5728000448611865
79,877,424,272,1.0139949961642087,0.31412346961175164
80,1007,462,502,1.519668906383954,1.3252243184426127
81,295,727,388,1.9971443269040017,2.745763905530187
82,612,382,780,1.6326240975177715,1.2799656561896204
83,390,131,808,1.9059023503630677,1.1556048417533733
84,485,230,571,1.7715100412141909,1.2050977726377659
85,20,395,898,1.254526341200068,1.1385596153350699
86,949,665,321,1.584775081661275,1.5691875041930707
87,658,809,606,1.9654993512540306,2.7055232127324675
88,865,437,776,1.4975479981604172,1.3507197198041947
89,363,857,458,1.580651134242051,1.5763964343956618
90,579,997,365,1.141317143136018,0.6099526706570794
91,259,845,991,1.7054034136615823,2.129127300721127
92,226,362,280,1.1251785934597311,0.32514480673237217
93,731,901,565,1.7244654843958758,1.770550744196128
94,355,933,457,1.4917948151346032,1.440824691920289
95,168,936,981,1.2354836566266991,1.3046957541820157
96,535,636,792,1.4422476075678694,1.5207365122011418
97,816,115,164,1.1829187842482534,0.11480984980112902
98,723,565,1009,1.835206293838512,2.6573110739244914
99,331,161,367,1.5010116596610745,0.667429115196086
100,700,549,145,1.7308220884311543,1.1818191015335722
101,378,663,724,1.471420761973838,1.5616444092327717
102,977,474,907,1.3332677909262673,1.3985482018525666
103,882,384,253,1.9281592151494753,1.1569824791212155
104,625,377,656,1.8247629683608682,1.6423515455407254
105,517,240,1005,1.5461831958802699,1.2787183503205048
106,908,728,312,1.5872867155830965,1.5467842736341044
107,881,670,998,1.9675366643466408,2.849681452601855
108,798,367,575,1.0306350135650741,0.5212972959148635
109,338,572,701,1.4801379134023191,1.3435021633180473
