trial,generation,method,max_deg,size_construction,size_search,alpha,build_time,memory,search_time,recall
0,0,single-cutcat-unif,624,229,649,1.28125,0.056445758870917004,0,0.4044528441667263,1.0
0,0,single-cutcat-unif,50,223,583,1.8154296875,0.1373219248061976,0,0.300176817119978,1.0
0,0,single-cutcat-unif,425,203,790,1.234375,0.045790321570554085,0,0.5750344684598737,1.0
0,0,single-cutcat-unif,1011,568,571,1.3701171875,0.19795102397124195,0,0.4105126380086783,1.0
0,0,single-cutcat-unif,960,436,724,1.904296875,0.4620221356134098,0,0.7482680162810038,1.0
0,0,single-cutcat-unif,362,529,1023,1.90625,1.0,0,0.9217790903094362,1.0
0,0,single-cutcat-unif,202,101,206,1.3671875,0.0,0,0.10380194288574829,1.0
0,0,single-cutcat-unif,489,109,635,1.66015625,0.03039410235356951,0,0.444984937360739,1.0
0,0,single-cutcat-unif,207,219,122,1.5986328125,0.12178282032871855,0,0.10270842288307162,1.0
0,0,single-cutcat-unif,604,631,362,1.5302734375,0.3912697250706501,0,0.37713413713699157,1.0
0,1,single-cutcat-unif,462,223,119,1.0048828125,0.031215398240864105,0,0.013751000321236346,0.9978
0,1,single-cutcat-unif,202,101,206,1.3671875,0.0,0,0.10380194288574829,1.0
0,2,single-cutcat-unif,462,223,119,1.0048828125,0.031215398240864105,0,0.013751000321236346,0.9978
0,2,single-cutcat-unif,201,109,201,1.3046875,0.01837551392798863,0,0.0881785569521709,1.0
0,3,single-cutcat-unif,201,109,201,1.3046875,0.01837551392798863,0,0.0881785569521709,1.0
0,3,single-cutcat-unif,600,103,714,1.2802734375,0.020145386573733836,0,0.46705992676103625,1.0
0,3,single-cutcat-unif,17,220,379,1.818359375,0.047498398788372045,0,0.1180732839405773,1.0
0,3,single-cutcat-unif,462,223,119,1.0048828125,0.031215398240864105,0,0.013751000321236346,0.9978
0,3,single-cutcat-unif,624,103,666,1.4365234375,0.017552102891465634,0,0.4289055676641327,1.0
0,4,single-cutcat-unif,600,103,650,1.2802734375,0.02456448098766592,0,0.3845160785469513,1.0
0,4,single-cutcat-unif,585,108,379,1.302734375,0.021563055798239212,0,0.26880023431787914,1.0
0,4,single-cutcat-unif,201,109,201,1.3046875,0.01837551392798863,0,0.0881785569521709,1.0
0,4,single-cutcat-unif,600,103,714,1.2802734375,0.020145386573733836,0,0.46705992676103625,1.0
0,4,single-cutcat-unif,460,187,200,1.12109375,0.020744761179020393,0,0.05521352710388331,0.9999000000000001
0,5,single-cutcat-unif,201,568,195,1.099609375,0.09143675049000984,0,0.07205512467060476,1.0
0,5,single-cutcat-unif,201,109,201,1.3046875,0.01837551392798863,0,0.0881785569521709,1.0
0,5,single-cutcat-unif,600,103,714,1.2802734375,0.020145386573733836,0,0.46705992676103625,1.0
0,5,single-cutcat-unif,460,187,200,1.12109375,0.020744761179020393,0,0.05521352710388331,0.9999000000000001
0,5,single-cutcat-unif,217,103,104,1.5302734375,0.046041750511885984,0,0.09275612931582507,1.0
0,6,single-cutcat-unif,201,568,195,1.099609375,0.09143675049000984,0,0.07205512467060476,1.0
0,6,single-cutcat-unif,593,105,201,1.056640625,0.0012523476967155524,0,0.0395023816649916,0.9994
0,6,single-cutcat-unif,201,109,201,1.3046875,0.01837551392798863,0,0.0881785569521709,1.0
0,6,single-cutcat-unif,584,107,394,1.1845703125,0.005232914818937944,0,0.14758333176402275,1.0
